code,name,issuer,index,market,leverage,hedge
251590,PLUS 고배당저변동50,PLUS,KR_DIVIDEND,KR,1.0,none
487910,ACE 인도컨슈머파워액티브,ACE,INDIA,INDIA,1.0,unhedged
430500,KIWOOM 물가채KIS,KIWOOM,KR_TREASURY,KR,1.0,none
0102X0,ACE 유럽방산TOP10,ACE,US_DEFENSE,GLOBAL,1.0,unhedged
451150,에셋플러스 글로벌영에이지액티브,에셋플러스,MSCI_WORLD,GLOBAL,1.0,unhedged
285690,FOCUS ESG리더스,FOCUS,KR_ESG,KR,1.0,none
105010,TIGER 라틴35,TIGER,MSCI_EM,GLOBAL,1.0,unhedged
0120J0,BNK 카카오그룹포커스,BNK,KR_CONGLOMERATE,KR,1.0,none
215620,HK S&P코리아로우볼,HK,KOSPI200,KR,1.0,none
250780,TIGER 코스닥150선물인버스,TIGER,KOSDAQ150,KR,-1.0,none
269530,PLUS S&P글로벌인프라,PLUS,INFRASTRUCTURE,GLOBAL,1.0,unhedged
449680,TIGER 한중전기차(합성),TIGER,KR_AUTO,KR,1.0,none
326230,RISE 내수주플러스,RISE,KOSPI,KR,1.0,none
217770,TIGER 원유선물인버스(H),TIGER,OIL,COMMODITY,-1.0,hedge
379790,RISE 유로스탁스50(H),RISE,EUROPE,EUROPE,1.0,hedge
0008E0,ACE 미국중심중소형제조업,ACE,KOSPI,KR,1.0,none
460270,KIWOOM 미국달러SOFR금리액티브(합성),KIWOOM,USD_SOFR,CURRENCY,1.0,unhedged
225800,KIWOOM 미국달러선물레버리지,KIWOOM,USD,CURRENCY,2.0,unhedged
399580,RISE 글로벌클린에너지,RISE,CLEAN_ENERGY,GLOBAL,1.0,unhedged
480460,WON 한국부동산TOP3플러스,WON,KR_REIT,KR,1.0,none
237440,TIGER 경기방어채권혼합,TIGER,KR_SECTOR,KR,1.0,none
0073X0,FOCUS 알리바바미국채커버드콜혼합,FOCUS,KR_TREASURY,KR,1.0,none
411860,KIWOOM 독일DAX,KIWOOM,EUROPE,EUROPE,1.0,unhedged
375270,RISE 글로벌데이터센터리츠(합성),RISE,US_REIT,GLOBAL,1.0,unhedged
0082F0,HANARO 유럽방산,HANARO,US_DEFENSE,GLOBAL,1.0,unhedged
341850,TIGER 리츠부동산인프라채권,TIGER,KR_REIT,KR,1.0,none
489860,KIWOOM 글로벌전력GRID인프라,KIWOOM,INFRASTRUCTURE,GLOBAL,1.0,unhedged
181480,ACE 미국부동산리츠(합성 H),ACE,US_REIT,US,1.0,hedge
494340,ACE 글로벌AI맞춤형반도체,ACE,US_AI,GLOBAL,1.0,unhedged
266390,KODEX 경기소비재,KODEX,KR_SECTOR,KR,1.0,none
230480,KIWOOM 미국달러선물인버스2X,KIWOOM,USD,CURRENCY,-2.0,unhedged
466810,BNK 2차전지양극재,BNK,KR_BATTERY,KR,1.0,none
166400,TIGER 200커버드콜OTM,TIGER,KOSPI200,KR,1.0,none
0002C0,에셋플러스 인도일등기업포커스20액티브,에셋플러스,INDIA,INDIA,1.0,unhedged
0084D0,KIWOOM 미국테크100월간목표헤지액티브,KIWOOM,US_TECH,US,1.0,unhedged
279540,KODEX 최소변동성,KODEX,KOSPI200,KR,1.0,none
0053M0,더제이 중소형포커스액티브,더제이,KOSPI,KR,1.0,none
0004G0,1Q 미국배당TOP30,1Q,US_DIVIDEND,US,1.0,unhedged
435550,KIWOOM TDF2050액티브,KIWOOM,TDF,KR,1.0,none
0036Z0,RISE 미국천연가스밸류체인,RISE,US_ENERGY,US,1.0,unhedged
483020,KIWOOM 의료AI,KIWOOM,KR_BIO,KR,1.0,none
429740,PLUS K리츠,PLUS,KR_REIT,KR,1.0,none
270800,RISE KQ고배당,RISE,KR_DIVIDEND,KR,1.0,none
497510,ACE 글로벌빅파마,ACE,US_BIO,GLOBAL,1.0,unhedged
487920,ACE 인도시장대표BIG5그룹액티브,ACE,INDIA,INDIA,1.0,unhedged
380340,ACE 코리아AI테크핵심산업,ACE,KR_AI,KR,1.0,none
140570,RISE 수출주,RISE,KOSPI,KR,1.0,none
291630,KIWOOM 코스닥150선물레버리지,KIWOOM,KOSDAQ150,KR,2.0,none
451670,RISE 국채30년레버리지(합성),RISE,KR_TREASURY_30Y,KR,2.0,none
